_id,Institution,GoogleMaps
6930a7d8f59660bdbf649b3c,Universidade do Porto - Faculdade de Farmácia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.14777+-8.624307
6930a7d8f59660bdbf649b3d,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,http://maps.google.pt/maps?z=20&t=k&q=loc:41.14777+-8.624307
6930a7d8f59660bdbf649b3e,Universidade de Lisboa - Faculdade de Medicina,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74874+-9.160639
6930a7d8f59660bdbf649b3f,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,http://maps.google.pt/maps?z=20&t=k&q=loc:38.72019+-9.139704
6930a7d8f59660bdbf649b40,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15291+-8.638251
6930a7d8f59660bdbf649b41,Atlântica - Instituto Universitário,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74141+-9.284575
6930a7d8f59660bdbf649b42,Instituto Superior de Ciências Policiais e Segurança Interna,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70389+-9.178889
6930a7d8f59660bdbf649b43,Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Viseu,http://maps.google.pt/maps?z=20&t=k&q=loc:40.64449+-7.921137
6930a7d8f59660bdbf649b44,Instituto Politécnico de Lisboa - Escola Superior de Teatro e Cinema,http://maps.google.pt/maps?z=20&t=k&q=loc:37.76357+-9.235246
6930a7d8f59660bdbf649b45,Instituto Politécnico do Porto - Escola Superior de Media Artes e Design,http://maps.google.pt/maps?z=20&t=k&q=loc:41.36633+-8.739719
6930a7d8f59660bdbf649b46,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes,http://maps.google.pt/maps?z=20&t=k&q=loc:39.46782+-8.207817
6930a7d8f59660bdbf649b47,Instituto Superior de Ciências Empresariais e do Turismo,http://maps.google.pt/maps?z=20&t=k&q=loc:41.152+-8.617905
6930a7d8f59660bdbf649b48,Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa,http://maps.google.pt/maps?z=20&t=k&q=loc:38.73717+-9.146786
6930a7d8f59660bdbf649b49,ISLA - Instituto Politécnico de Gestão e Tecnologia - Escola Superior de Tecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.12411+-8.614039
6930a7d8f59660bdbf649b4a,Instituto Superior Miguel Torga,http://maps.google.pt/maps?z=20&t=k&q=loc:40.21349+-8.41318
6930a7d8f59660bdbf649b4b,Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais,http://maps.google.pt/maps?z=20&t=k&q=loc:39.73972+-8.811389
6930a7d8f59660bdbf649b4c,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,http://maps.google.pt/maps?z=20&t=k&q=loc:37.74605+-25.66378
6930a7d8f59660bdbf649b4d,Universidade Católica Portuguesa - Faculdade de Ciências Humanas,NaN
6930a7d8f59660bdbf649b4e,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar,http://maps.google.pt/maps?z=20&t=k&q=loc:39.59896+-8.389722
6930a7d8f59660bdbf649b4f,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança,http://maps.google.pt/maps?z=20&t=k&q=loc:41.79637+-6.7689
6930a7d8f59660bdbf649b50,Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:41.53448+-8.628122
6930a7d8f59660bdbf649b51,Instituto Politécnico de Tomar - Escola Superior de Gestão de Tomar,http://maps.google.pt/maps?z=20&t=k&q=loc:39.59896+-8.389722
6930a7d8f59660bdbf649b52,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63046+-8.653306
6930a7d8f59660bdbf649b53,Instituto Politécnico da Maia - Escola Superior de Tecnologia e Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:41.26783+-8.6172
6930a7d8f59660bdbf649b54,Instituto Superior de Entre Douro e Vouga,http://maps.google.pt/maps?z=20&t=k&q=loc:40.92438+-8.544944
6930a7d8f59660bdbf649b55,Instituto Superior Politécnico Gaya - Escola Superior de Ciências Empresariais,http://maps.google.pt/maps?z=20&t=k&q=loc:41.11968+-8.623498
6930a7d8f59660bdbf649b56,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,http://maps.google.pt/maps?z=20&t=k&q=loc:40.36106+-7.861083
6930a7d8f59660bdbf649b57,Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais,http://maps.google.pt/maps?z=20&t=k&q=loc:38.52306+-8.841667
