Master Name,University,Location,Duration,Tuition Fee,About
Spanish Second Language and Foreign Language,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,"The Master's degree in Spanish Second Language and Foreign Language at University of Minho (90 ECTS) offers a linguistic, literary, cultural and didactic preparation in Spanish, aiming at a professional practice in Spanish as Foreign Language and scientific initiation in this area. "
Micro and Nano Technologies,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,"We offer a master degree in Micro and Nano Technologies at University of Minho. There is a world, invisible to us but fascinating, present in everything that surrounds us. This is the micro and nano scale world. Micro/nano technologies are presently one of the main focus in research, development and innovation activities in all industrialized countries."
Geosciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,The Master's degree in Geosciences at University of Minho aims to provide advanced training in emerging Geoscience domains and to create professionals which can act in several areas of the geosciences. 
Archaeology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Master Degree in Archaeology at the University of Minho represents a learning process in this field, emerged from the need to structure additional training given to the graduation who has an essentially generalist vocation."
Engineering Project Management,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,"The Master’s in Engineering Project Management (Mestrado em Gestão de Projetos de Engenharia - MGPE) from University of Minho aims to train professionals of various profiles, prepared to manage technology development and implementation processes of highly complex engineering projects. "
History,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The History students at University of Minho who finish the first year of the course having a positive evaluation in all the curricular units, shall be awarded, if required, a ""Certificate of Advanced Studies in History""."
Economics,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2900 EUR / year,"This Economics master programme at ISCTE - University Institute of Lisbon is recommended for students with a good technical background who wish to obtain a rigorous, in-depth education in economic theory and policy at the graduate level, to prepare a successful career as professional economists working for central banks, the banking industry, government institutions."
International Management,Catholic University of Portugal,"Lisbon, Portugal",1½ year,10 600 EUR / year,"One of the best master's programs in the world, the International Management at Catholic University of Portugal is a highly selective program with a solid international scope that offers you a high-quality graduate education in business. "
"Biodiversity, Genetics and Evolution",University of Porto,"Porto, Portugal",2 years,1430 EUR / year,"The Master's Degree course in Biodiversity, Genetics and Evolution from Faculty of Sciences, University of Porto offers advanced training for graduates of Biology, Agricultural Science and Veterinary Science, or related fields, who would like to pursue postgraduate education in the field of Biodiversity and Evolutionary Biology, or who are interested in developing or applying that knowledge."
"Coastal Hazards - Risks, Climate Change Impacts and Adaption",University of Algarve,"Faro, Portugal",2 years,9000 EUR / year,"The University of Algarve is a partner in a European consortium with the University of Cantabria (Spain) and the Delft Institute for Water Education (The Netherlands) in the Erasmus Mundus Master in Coastal Hazards - Risks, Climate Change Impacts and Adaption."
