master,university,Location,Duration,Tuition Fee,about
Microbiologia Aplicada,FCUL — Faculdade de Ciências da Universidade de Lisboa,,,,"Objetivos
A Microbiologia integra as áreas científico-tecnológicas de maior expansão e abrange vários segmentos high-growth/high-value do mercado internacional, nomeadamente: produção de novos antibióticos, fármacos, vacinas e nutracêuticos; controlo da infeção hospitalar, epidemias e pandemias; desenvolvimento de testes rápidos e fiáveis de deteção de microrganismos patogénicos; controlo da segurança e qualidade alimentar; desenvolvimento de microrganismos geneticamente modificados e avaliação do risco associado; tratamento de efluentes industriais; produção de biocatalisadores, biocombustíveis, biopolímeros e nanomateriais; e combate ao bioterrorismo.
O curso de Mestrado em Microbiologia Aplicada pretende formar um profissional com valências conceptuais e de base tecnológica, integrativas e associadas a uma componente formativa em empreendedorismo, transferência de tecnologia e conhecimento (TTC), que o habilitam a trabalhar em qualquer área de aplicação da Microbiologia e a vencer os novos desafios do Mercado Nacional e Internacional nesta área: criação de empresas de base tecnológica; inovação e consequente geração de propriedade intelectual; desenvolvimento de investigação user-oriented; e prestação de serviços técnicos ou de consultoria altamente qualificados.
  Saídas Profissionais
Conceção, validação e aplicação de procedimentos de: diagnóstico microbiológico; epi/pandemias, segurança/qualidade alimentar; combate ao bioterrorismo. Investigação, desenvolvimento e empreendedorismo em: novos antibióticos, vacinas e nutracêuticos; organismos geneticamente modificados e avaliação do risco; biocatalisadores, biocombustíveis, biopolímeros e nanomateriais; tratamento de efluentes industriais.
Empresas e instituições públicas nas áreas do ambiente, biotecnologia, saúde, sanidade animal e produção agrícola | Indústria farmacêutica e alimentar | Entidades de regulação e de fiscalização | Instituições de ensino superior e de investigação."
Engenharia Química e Biológica,Politécnico de Lisboa,,,,"Objetivos
São Objetivos Gerais do Mestrado em Engenharia Química e Biológica proporcionar os conhecimentos e capacidade de compreensão a um nível que:
Alicerçando-se nos conhecimentos obtidos ou adquiridos, os desenvolva e aprofunde, permitindo e constituindo a base para o desenvolvimento de competências ao nível da conceção e/ou otimização e/ou integração de processos na área da Engenharia Química e Biológica;
Permita aplicar os conhecimentos, a capacidade de compreensão e de resolução de problemas, em situações novas e não familiares, em contextos alargados e multidisciplinares;
Desenvolva a capacidade de comunicar conclusões, conhecimentos e raciocínios a elas subjacentes, quer a especialistas, quer a não especialistas, de uma forma clara e sem ambiguidades;
Forneça as competências que permitam uma aprendizagem ao longo da vida, de um modo fundamentalmente auto-orientado e autónomo.
São Objectivos Específicos do Mestrado em Engenharia Química e Biológica:
Fornecer aos licenciados em Engenharia competências específicas para o exercício da profissão de Engenheiro Químico, nomeadamente uma sólida formação nas áreas da conceção, gestão e inovação técnica e científica;
Incentivar o gosto pela resolução de problemas industrias e/ou investigação e desenvolvimento de novas soluções;
Fomentar o trabalho em equipa, liderança e empreendedorismo;
Articular os conhecimentos a fornecer com as reais necessidades do mercado de trabalho.
  Saídas Profissionais
A NOSSA EXPERIÊNCIA
Os graduados do MEQB adquirem sólidas competências com aplicação nas áreas da química base,  fermentação, química farmacêutica e de especialidades, refinação de petróleos e petroquímica, transformação de materiais lenho-celulósicos, agro-alimentar, entre outras.
Os graduados do MEQB ficam aptos ao desempenho profissional nos ramos de atividade que emergem da Engª Química e Biológica tendo como principais saídas profissionais as atividades de: Execução de projeto químico e biológico, Prestação de serviços à indústria, Controlo e optimização de processos, Simulação de processos, Desenvolvimento de produtos e processos e Investigação/Ensino.
Algumas entidades empregadoras dos diplomados:
GALP (Refinação de Petróleo)
REPSOL (Indústria Petroquímica)
CUF (Indústria Química)
RESIQUÍMICA (Indústria de Polímeros)
HOVIONE (Indústria Farmacêutica)
HIKMA (Indústria Farmacêutica)
OGMA (Indústria Aeronáutica)
SOLVAY PORTUGAL (Indústria Química)
SOPAC (Indústria Adubeira)
EDP (Geração de Energia)
INSA (Laboratórios do Estado)
LNEC (Laboratórios do Estado)"
Ensino de Português e de Língua Estrangeira no 3.º Ciclo do Ensino Básico e no Ensino Secundário,NOVA FCSH – Faculdade de Ciências Sociais e Humanas da Universidade Nova de Lisboa,,,,"Apresentação do Curso
Integrado na formação inicial de professores da NOVA FCSH, este curso propõe uma formação científica sólida, valorizando simultaneamente o desenvolvimento articulado de capacidades relacionadas com a (re)construção do conhecimento e com a reflexão consciente e crítica sobre a atividade docente no mundo contemporâneo. O curso assegura formação educacional geral, oferece formação nas didáticas e metodologias específicas do ensino do português (língua materna) e das línguas estrangeiras (alemão, espanhol, francês e inglês), proporciona a consolidação da componente científica na área de docência, integrando conhecimentos linguísticos, literários e culturais, e garante a iniciação à prática profissional.
Objetivos
Os objetivos de aprendizagem são os seguintes:
1) Exercício autónomo da docência do Português/ Línguas Estrangeiras (/alemão/espanhol/francês/inglês), segundo as exigências programáticas, numa perspetiva de investigação e formação contínuas ao longo da futura prática profissional;
2) Desenvolvimento das capacidades de reflexão, análise e investigação do processo de ensino/aprendizagem destas disciplinas, conducentes a uma gestão adequada e inovadora das expectativas e das necessidades dos alunos dos níveis e ciclos abrangidos, nomeadamente nos domínios dos falar, ouvir, ler e escrever;
3) Desenvolvimento das competências pedagógicas da didática específica do Português (língua materna) e das Línguas Estrangeiras, aprofundando os conhecimentos científicos, tecnológicos, éticos e culturais e a sua aplicação prática;
4) Capacidade de reflexão linguística, de sistematização e aprofundamento dos conhecimentos sobre o funcionamento da língua e o modo de estruturação de textos/discursos, com vista a um domínio correto e adequado dos modos de expressão oral escrita;
5) Desenvolvimento da capacidade de reflexão sobre os textos literários, gerindo a relação entre cultura literária e literacia, e problematizando as literaturas de língua portuguesa no espaço e no tempo, com abertura aos novos modos de expressão e de criação, nomeadamente tecnológicos;
6) Capacidade de promover a educação para a cidadania, para a cultura e para a multiculturalidade, para o respeito pela diversidade linguística, a incluir a tomada de consciência da riqueza cultural e linguística associada à língua portuguesa."
Engenharia Biomédica,UTAD – Universidade de Trás-os-Montes e Alto Douro,,,,"Objetivos do Curso
1 – Os objetivos gerais definidos para o Mestrado em Engenharia Biomédica são:
a) Complementar a formação de licenciados provenientes de diversas áreas das ciências básicas e da engenharia, de modo a que sejam capazes de integrar conhecimentos para a resolução de problemas com aplicação nas ciências da vida e medicina;
b) Preparar os alunos para a investigação e/ou empregos orientados para o desenvolvimento e inovação, em empresas nacionais e internacionais que integram a cadeia de valor da saúde, hospitais e universidades. Os alunos com o grau de mestre serão capazes de realizar investigação científica multidisciplinar e possuir as competências necessárias para prosseguir os seus estudos e investigação num programa de doutoramento;
c) Dar a oportunidade aos alunos de aumentar os níveis de competências e de especialização, dando seguimento à sua formação de 1º ciclo obtida nas licenciaturas em Engenharia Biomédica e em Bioengenharia, e tendo em vista a sua empregabilidade.
2 – Para além disso, independentemente do percurso de especialização, os mestres deverão:
a) Desenvolver competências que lhes permitam relacionar o conhecimento em engenharia com as ciências da vida, de modo a avaliarem e conceberem projetos com aplicação em Engenharia Biomédica;
b) Adquirir competências na utilização de equipamentos e técnicas avançadas, em trabalho individual ou integrado em equipas multidisciplinares, de forma a permitir a criação e/ou o desenvolvimento de modelos computacionais, instrumentação eletrónica e software para aplicação Biomédica;
c) Fornecer formação técnica e científica detalhada e atualizada sobre as técnicas mais avançadas nos domínios da Engenharia, Biotecnologia, Bioquímica, Genética e Biomateriais visando a análise, diagnóstico e tratamento na área da saúde;
d) Desenvolver estratégias de investigação científica adotando soluções para resolver problemas concretos, e.g., formulação de hipóteses, planeamento e execução de protocolos experimentais, análise crítica de resultados e sua divulgação.
O curso oferece dois ramos ou especializações:
• Instrumentação e Informática Médica;
• Bioprocessos e Biomateriais.
  Saídas Profissionais
As atividades do Engenheiro Biomédico nas empresas e instituições de investigação e prestação de serviços de Saúde são:
• Especialização em equipamentos de monitorização e processamento de sinais cerebrais, cardíacos, pulmonar, temperatura, fetais e neonatais;
• Especialização em Sistemas de informação hospitalar, telemedicina e e-health;
• Higiene e Segurança nos Equipamentos Médicos;
• Gestão do Risco e Qualidade nos Hospitais;
• Especialização em equipamentos de diagnóstico em cardiologia, função pulmonar, neurofisiologia, estudo do sono, audiometria, oftalmologia, força muscular, e análises clinicas;
• Especialização em equipamentos de Imagiologia médica, tais como radiologia digital, tomografia, diagnóstico por ultra-sons, endoscopia, ressonância magnética;
• Especialização em dispositivos terapêuticos como ventiladores, desfibriladores, equipamentos de anestesia, hemodialise, equipamento para terapia por radiações, equipamento para hemodinâmica, e estimulação elétrica funcional na reabilitação;
• Especialização em instrumentação implantável (pacemakers, desfibriladores, neuro próteses, bombas de insulina).
Os Engenheiros Biomédicos podem trabalhar em:
• Universidades e Instituições de Ensino Superior;
• Empresas de material farmacêutico;
• Empresas de equipamento e instrumentação médica;
• Unidades de investigação e laboratórios de investigação e desenvolvimento de grandes empresas;
• Empresas de sistemas de Informação para a Saúde;
• Indústria farmacêutica e de análises;
• Hospitais e Serviços de Saúde;
• Laboratórios de Faculdades de Medicina;
• Organismos do Estado;
• Empresas de biomateriais;
• Outras empresas ligadas à área da Saúde.
Com o Mestrado em Engenharia Biomédica pretende-se:
• Dar a oportunidade aos alunos de integrarem os grupos de investigação dedicados às aplicações Biomédicas, tirando partido das sinergias entre docentes, departamentos e escolas da UTAD, atraindo estudantes para os projetos de investigação;
• Reafirmar a UTAD como parceira ativa e competitiva na investigação, conceção, desenvolvimento e comercialização de dispositivos, software e serviços associados à saúde, em nichos de mercado e de tecnologia selecionados, tendo como alvo os mais exigentes e mais relevantes mercados internacionais, num quadro de reconhecimento da excelência, do seu nível tecnológico, e das suas competências e capacidades no domínio da inovação;
• Promover iniciativas e atividades curriculares, extracurriculares e de investigação com os alunos, tendentes à formação de jovens engenheiros com vocação para a inovação e transferência de tecnologia e, assim, promover e incentivar a cooperação da UTAD com empresas, laboratórios, clínicas, hospitais, e outras universidades nacionais e internacionais, nas áreas económicas associadas à área da saúde.
LIGAÇÃO AO TECIDO ECONÓMICO
A colaboração já existente entre a Curso em Engenharia Biomédica e o Centro Hospitalar de Trás-os­Montes será estendida aos alunos deste Mestrado, permitindo-lhes identificar oportunidades de inovação na prestação dos serviços de saúde.
Para além disso, existirá a oferta de:
• Palestras proferidas por profissionais de referência na área de Engenharia Biomédica;
• Visitas de estudo em Empresas;
• Estágio em ambiente Hospitalar e em Empresas da área."
Marketing - Global,IPAM – Instituto Português de Administração de Marketing,,,,"Apresentação do Curso
The world is moving at a very fast pace and modern business is increasingly global.
This Master was specially designed to meet the needs and trends of the global marketplace.
The course is fully taught in English and it is an innovative academic experience with its international focus, its emphasis on digital, ethical and sustainable marketing and its strong links with industry.
The philosophy behind this Master favors open knowledge and discovery-led learning, where all stakeholders contribute to the learning process.
Furthermore, it is fostered a culture of learning by doing: putting theory into practice with hands-on industry partnerships, live case studies, practical workshops and teamwork. Upon completion of this course students will be equipped with the comprehensive knowledge, expertise and skills needed to build a successful career in international settings.
  Careers
This Master aims at developing students’ competencies to become marketing professionals with a global mindset. Students will be able to understand how to shape the future, how to solve complex problems, how to be able to think and work strategically, and how to become emotionally intelligent and socially responsible managers.
Also, students will acquire the knowledge and skills to work in multinational corporations, SMEs operating globally or specialist marketing agencies, in positions involving strategic marketing management, brand management, digital marketing, among others.
Potential careers include: International Marketing Manager, Business Development Manager, Market Research Analyst, Global Product Manager, Digital Marketing Strategist, Brand Manager, Strategy Consultant, Marketing Partnerships Manager, Customer Experience Manager, Transformation and Innovation Manager, Chief Marketing Officer, International Marketing Professor.
Este curso também é ofertado pelo IPAM Porto."
Cuidados Paliativos,IPCB – Instituto Politécnico de Castelo Branco,,,,"Objetivos
Compreender e aplicar os valores e princípios dos cuidados paliativos na sua prática assistencial;
Demonstrar competências na implementação de um plano assistencial de qualidade à pessoa com doença crónica, avançada e progressiva, bem como à sua família e ao seu grupo social de pertença, maximizando a sua qualidade de vida e diminuindo o sofrimento em conformidade com a filosofia dos cuidados paliativos, sempre em colaboração com a restante equipa interdisciplinar;
Demonstrar capacidade de reflexão ética e crítica na análise de assuntos complexos inerentes à prática dos cuidados paliativos;
Desenvolver experiências de prática assistencial junto de diferentes equipas de cuidados paliativos, em regime de internamento ou de apoio domiciliário, no país e/ou no estrangeiro;
Desenvolver a capacidade de reflexão crítica das práticas assistenciais observadas no período de estágio clínico, mediante a elaboração de um relatório final e da construção de um plano de implementação de uma equipa de cuidados paliativos.
  Saídas Profissionais
Qualquer serviço ou equipa de cuidados de saúde do Sistema Nacional de Saúde, de contexto hospitalar com internamento ou na comunidade; do sector público ou privado; particular competência para as unidades/equipas de cuidados paliativos e/ou da Rede Nacional de Cuidados Continuados Integrados."
Navegação e Geomática,FCUL — Faculdade de Ciências da Universidade de Lisboa,,,,"Objetivos
O Mestrado em Navegação e Geomática tem por objetivo promover a formação pós-graduada avançada de forma multi e interdisciplinar, contribuído para o aumento do conhecimento dos seus alunos em diferentes áreas das Ciências da Terra e da Navegação Marítima: na monitorização de espaços marítimos, nos sistemas globais de posicionamento satélite, nos SIG (Sistemas de Informação Geográfica), nos sistemas de navegação marítima e respetiva integração, na Cartografia Náutica, e no assinalamento marítimo. O curso disponibilizará igualmente aos seus alunos conhecimentos de Deteção Remota e Processamento Digital de Imagem.
A contribuição específica das entidades proponentes (Escola Naval e FCUL) é determinante não apenas nas suas áreas de especialidade, mas igualmente na articulação entre as áreas a lecionar, proporcionando uma visão abrangente das questões ligadas à Navegação Marítima e à observação dos oceanos através da Geomática.
  Saídas Profissionais
Monitorização de espaços marítimos, sistemas globais de posicionamento satélite, sistemas de informação geográfica, sistemas de navegação marítima e respetiva integração, cartografia náutica e assinalamento marítimo. Deteção remota e processamento digital de imagem. Desenvolvimento de uma visão abrangente das questões ligadas à navegação marítima e à observação dos oceanos, através da geomática.
Empresas e instituições públicas no sector da hidrografia e da engenharia portuária | Marinha | Agências internacionais de navegação | Instituições de investigação na área da logística e transportes marítimos."
Engenharia de Redes de Comunicação e Multimédia,Politécnico de Lisboa,,,,"Objetivos
Produção de Conteúdos – Concepção, captura, edição, ferramentas de autoria, interacção homem-máquina.
Análise e Organização de Conteúdos – Extracção de metadados, indexação, filtragem, motores de busca.
Distribuição de Conteúdos – Codificação, redes de comunicação, arquitecturas computacionais, sistemas distribuídos.
A aquisição de competências profissionais nestas vertentes, que compõem um sistema multimédia, requer conhecimentos da estrutura dos sinais (fala, áudio, imagens, vídeo), dos métodos para extrair deles informação semântica rica (processamento de sinais, reconhecimento de padrões, aprendizagem, visão, reconhecimento de fala), dos métodos de organização de informação (indexação, pesquisa, filtragem), de redes de comunicação (comunicação digital, protocolos, normas, serviços) e do desenvolvimento de interfaces gráficas interactivas (computação gráfica, dispositivos de interacção, percepção humana, mundos virtuais).
O domínio das tecnologias associadas à análise de sinais multimédia (processamento de sinais, aprendizagem automática) ocupa um lugar importante no desenvolvimento de muitas aplicações multimédia, com impacto crescente na nossa sociedade, tais como as bibliotecas digitais, a vídeo vigilância, a identificação por chave biométrica, as aplicações médicas, os sistemas de informação geográfica, a interacção homem-máquina através de dispositivos não hápticos, os jogos, a robótica, entre outras.
Uma vez concluído o curso de mestrado, o aluno estará habilitado a ingressar no mercado de trabalho, tendo adquirido, nomeadamente, as seguintes competências:
Desenvolver software e testar algoritmos, de forma modular.Conhecer as tecnologias usadas em redes de distribuição de conteúdos multimédia.
Planear e configurar redes complexas incluindo tecnologias de redes sem fios.
Conhecer mecanismos utilizados para implementar segurança em redes de computadores.
Desenvolver aplicações distribuídas usando mecanismos de comunicação e interacção de objectos distribuídos.
Desenvolver sistemas distribuídos usando os paradigmas baseados em serviços (Web Services) e baseados em publicação/subscrição de eventos.
Desenvolver, configurar e administrar infra-estruturas de suporte a sistemas multimédia, nomeadamente as arquitecturas para armazenamento, reprodução e de servidor.
Conceber e implementar bases de dados para armazenamento, pesquisa e manipulação de informação geográfica e multimédia.
Usar técnicas actuais de aprendizagem automática e data mining em sistemas multimédia.
Desenvolver sistemas de Recuperação de Informação (Information Retrieval).
Descrever, avaliar e comparar métodos alternativos de implementação de codificadores de fala e reconhecedores de fala e orador.
Simular, testar e avaliar blocos constituintes de um sistema de áudio digital profissional.
Conhecer e aplicar métodos de visão artificial em aplicações multimédia.
  Saídas Profissionais
As saídas profissionais deste mestrado desenvolvem-se nas mais diversas áreas:
Projecto de redes e serviços multimédia.
Instalação, configuração e administração de redes e serviços.
Instalação e/ou desenvolvimento de sistemas para videoconferência.
Produção de conteúdos multimédia para distribuição pela Internet e/ou DVD.
Desenvolvimento de aplicações para suporte ao ensino à distância e ao comércio electrónico.
Desenvolvimento de interfaces gráficas interactivas, com áudio, vídeo, animações 3D, etc.
Indústria de entretenimento (jogos) e do audiovisual.
Instalação/manutenção/desenvolvimento de aplicações para televisão interactiva.
Desenvolvimento de interfaces gráficas para sistemas de informação geográfica.
Projecto/instalação/manutenção de bases de dados multimédia para o sector de serviços, tais como turismo, cultura, publicidade, editoras gráficas, museus, etc.
Desenvolvimento de aplicações para vigilância, usando imagens de vídeo e SAR.Desenvolvimento de aplicações para controlo de tráfego rodoviário, baseados em tecnologias vídeo (reconhecimento de matrículas, classificação de veículos, estatísticas de tráfego, detecção de infracções).
Consultadoria na área das Tecnologias de Informação.
Algumas entidades empregadoras dos diplomados:
BIODROID
TEKEVER
ACCENTURE
NOVABASE
NOKIA SOLUTIONS NETWORKS
GLINTT
AGAP2
ONGAGEMENT
NOS MULTIMEDIA"
Estética e Estudos Artísticos,NOVA FCSH – Faculdade de Ciências Sociais e Humanas da Universidade Nova de Lisboa,,,,"Objetivos do Curso
O principal objetivo é a promoção de novo conhecimento crítico aprofundado e interdisciplinar nas áreas da estética e dos estudos artísticos. O ciclo de estudos congrega, em três áreas de especialização, docentes e unidades curriculares dos departamentos de Filosofia, História da Arte, Ciências da Comunicação e Ciências Musicais. Pretende-se que os estudantes venham a:
a) adquirir um conhecimento crítico aprofundado dos problemas fundamentais da Estética em ligação com os Estudos Artísticos;
b) reconhecer, de forma aprofundada, a importância dos estudos da filosofia e da história da filosofia, da história da arte; das ciências da comunicação e das artes e ciências musicais para a interpretação e compreensão das questões atuais da arte e das práticas artísticas;
c) desenvolver, de forma aprofundada, conhecimentos e competências específicas numa área dos Estudos Artísticos, ou seja: nas artes plásticas no caso da especialização em Arte & Culturas Políticas; no cinema ou na fotografia no caso da especialização em Cinema & Fotografia; na música no caso da especialização em Artes & Ciências Musicais."
Engenharia Informática – Especialização em Desenvolvimento de Software e Sistemas Interativos,IPCB – Instituto Politécnico de Castelo Branco,,,,"Objetivos
Providenciar um programa de ensino avançado em Informática, de teor assumidamente profissionalizante, na área específica do desenvolvimento de software e sistemas interactivos.
Aprofundar e complementar as competências dos alunos na área da Informática aplicada, procurando satisfazer as suas necessidades profissionais de especialização, no contexto da realidade empresarial do País e das suas necessidades particulares.
  Saídas Profissionais
As saídas profissionais do MDSSI incluem actividades com elevada procura no mercado de trabalho, incluindo:
Liderança de equipas de desenvolvimento de software.
Desenvolvimento de projectos com forte componente em Metodologias e e Tecnologias de Programação.
Concepção e desenvolvimento de sistemas de informação.
Concepção e desenvolvimento de sistemas interactivos.
Concepção e desenvolvimento de sistemas analíticos de dados.
Consultoria em informática.
Gestão de projectos informáticos.
O Mestrado em Desenvolvimento de Software e Sistemas Interactivos é reconhecido, pela Direcção Geral dos Recursos Humanos da Educação do Ministério da Educação e Ciência, para efeitos de progressão na carreira dos docentes do ensino básico, do 3.º ciclo e do ensino secundário (grupo de recrutamento 550)."
Química,FCUL — Faculdade de Ciências da Universidade de Lisboa,,,,"Objetivos
O Mestrado ou 2.º Ciclo em Química do Departamento de Química e Bioquímica da Faculdade de Ciências da Universidade de Lisboa (FCUL) tem como principal objetivo fornecer aos estudantes formação avançada em áreas emergentes da Química, suportada por uma sólida componente teórica e experimental em diversos ramos básicos, e no desenvolvimento de competências para tomada de decisão, pensamento estratégico e capacidades organizacionais.
O 2.º ciclo em Química destina-se a licenciados em Química e áreas afins, que possuam background nas áreas básicas da Química, tendo a duração de um biénio letivo. Neste sentido, o programa das unidades curriculares do primeiro ano letivo foi desenhado de forma abrangente para oferecer uma sólida formação em Química aos estudantes com insuficiência de conhecimentos em alguns domínios, ao mesmo tempo que permite consolidar e expandir as aprendizagens, fornecendo know-how em áreas mais especializadas não contempladas no 1.º Ciclo de estudos. No segundo ano letivo, a realização de um projeto de dissertação num dos laboratórios da FCUL ou, alternativamente, num laboratório de instituições ou empresas, nacionais ou internacionais (ao abrigo do programa Erasmus+), com as quais estejam celebrados protocolos de colaboração, constitui uma mais-valia significativa para a preparação dos estudantes.
As diversas especializações oferecidas treinam os estudantes para resolver problemas e adquirir competências técnicas com recurso a case studies, demonstrações e práticas laboratoriais (hands-on) e ainda contato direto com metodologias e instrumentação moderna de topo. Os estudantes adquirem igualmente formação em áreas da gestão e planeamento, aprendendo a comunicar e a expor temáticas fundamentais em ambiente empresarial. O 2.º Ciclo em Química permite ainda o acesso ao 3.º ciclo de estudos ou doutoramento em diversas áreas científicas.
No pós-Bolonha, o 2.º Ciclo em Química é um imperativo para consolidação dos conhecimentos básicos adquiridos no 1.º Ciclo de estudos, tornando-se uma formação essencial e diferenciadora para a inserção dos graduados no exigente mercado de trabalho do setor da ciência e tecnologia.
Áreas de Especialização:
. Eletroquímica Aplicada;
. Química;
. Química Analítica;
. Química, Saúde e Nutrição;
. Química Verde.
  Saídas Profissionais
Sintetizar, preparar, formular, otimizar, testar ou aplicar novas moléculas, substâncias ou materiais atendendo às boas-práticas laboratoriais em linha com metodologias sustentáveis. Utilizar e validar técnicas instrumentais avançadas para caraterização e análise química.
Indústria química e petroquímica | Indústria agroquímica | Indústria farmacêutica e da cosmética| Indústria alimentar | Laboratórios analíticos e de controlo da qualidade | Laboratórios de controlo ambiental | Laboratórios de toxicologia forense e investigação criminal | Laboratórios de segurança alimentar e de defesa | Empresas de prestação de serviços, auditoria e consultoria | Empresas de comércio de instrumentação científica | Instituições do ensino superior e de investigação."
Estudos Portugueses,NOVA FCSH – Faculdade de Ciências Sociais e Humanas da Universidade Nova de Lisboa,,,,"Apresentação do Curso
O mestrado de Estudos Portugueses foi recentemente reestruturado para permitir uma melhor articulação tanto com a licenciatura como com o doutoramento. Com novos seminários e unidades curriculares reformuladas, embora mantendo uma perspetiva de continuidade relativamente à licenciatura,   procedeu–se a um claro fortalecimento da orientação de especialização científica, que se traduz no reforço da dimensão teórica, no predomínio de seminários temáticos e na prioridade ao trabalho de encaminhamento no sentido da investigação no âmbito dos Estudos Portugueses.
Objetivos
1) Aprofundar a reflexão teórica, consolidar e complementar os conhecimentos histórico-literários e histórico-culturais adquiridos no 1.º ciclo;
2) Obter competências teóricas e metodológicas de investigação científica na área das literaturas e culturas de expressão portuguesa, na sua relação com outras culturas, designadamente: competências de problematização e definição de objetos de estudo pertinentes, de seleção e recolha de informação relevante de natureza bibliográfica, documental, etnográfica e/ou testemunhal, de organização de acervos e de análise crítica, processamento e interpretação das informações;
3) Adquirir capacidade de conceber e efetuar abordagens originais de temas culturais e literários, fundamentadas nos conhecimentos e nas competências referidas nos pontos antecedentes;
4) Desenvolver a capacidade de aplicação dos conhecimentos e das competências adquiridas a situações novas;
5) Potenciar a capacidade para identificar problemas ou lacunas no conhecimento adquirido sobre a literatura e a cultura portuguesas, de desenvolver soluções adequadas e emitir juízos críticos em situações de informação limitada ou incompleta, baseadas em investigação pessoal e enquadradas numa reflexão de caráter ético e social que lide com a pluralidade e a interação das culturas e dos critérios estéticos e literários;
6) Adquirir competências de análise, exposição e síntese rigorosas dos conhecimentos, dos problemas, dos procedimentos e dos resultados da investigação, na oralidade e na escrita;
7) Adquirir a capacidade de desenvolver um trabalho de pesquisa rigoroso e sistemático, conducente à elaboração de uma dissertação;
8) Adquirir conhecimentos e competências que permitam manter a aprendizagem, de modo autónomo, ao longo da vida."
Engenharia Civil,UTAD – Universidade de Trás-os-Montes e Alto Douro,,,,"Objetivos do Curso
O Mestrado em Engenharia Civil da Universidade de Trás-os-Montes e Alto Douro é um Curso de 2º Ciclo que se desenvolve em quatro semestres letivos com o objetivo de garantir os conhecimentos específicos necessários ao desenvolvimento de competências nos diferentes domínios da Engenharia Civil (estruturas, hidráulica, construções civis, geotecnia, vias de comunicação e planeamento territorial).
Este Mestrado visa formar profissionais com uma sólida e diversificada preparação técnica e científica, vulgarmente designados por “engenheiros de conceção” (conceptual engineering).
Em termos genéricos, pretende-se com esta formação que os titulares do grau de Mestre em Engenharia Civil tenham competências para:
Aplicar conhecimentos e ter capacidade de compreensão e de resolução de problemas de engenharia civil em situações nova, em contextos alargados (científico, técnico, económico, social e ambiental) e multidisciplinares;
Integrar conhecimentos, lidar com questões complexas, desenvolver soluções ou emitir juízos em situações de informação limitada ou incompleta, incluindo reflexões sobre as implicações e responsabilidades éticas e sociais que resultem ou condicionem essas soluções e esses juízos;
Comunicar, de forma sucinta e racional, os conhecimentos, os raciocínios e os resultados do seu trabalho a audiências especializadas ou generalistas;
Desenvolver uma aprendizagem ao longo da vida, de um modo fundamentalmente auto-orientado e autónomo.
A proposta de criação deste Mestrado (2 anos), na sequência da Licenciatura em Engenharia Civil também ministrada na UTAD (3 anos), justifica-se por dois motivos principais. Por um lado, é prática estável e consolidada, nos vários países da União Europeia, a exigência de pelo menos 5 anos para a formação de “engenheiros de conceção”. Além disso, este é um dos requisitos exigidos pela Ordem dos Engenheiros para o exercício da profissão como membro E2, figurando o Mestrado em Engenharia Civil da UTAD na tabela de correspondência de cursos desta ordem, estando assim garantido, aos mestres recém-formados, o acesso à inscrição na OE, para legal e fundamentado desempenho profissional.
  Saídas Profissionais
A preparação destes profissionais no domínio das construções civis, estruturas, hidráulica, vias de comunicação, ordenamento do território, entre outros, permite-lhes exercer a profissão como projetistas, diretores de obra, gestores de projeto, técnicos ou dirigentes de organismos públicos ou de empresas privadas ou como investigadores e académicos."
Design de Interiores e Mobiliário,IPCB – Instituto Politécnico de Castelo Branco,,,,"Objetivos
Desenvolver a capacidade de investigação e inovação aplicada ao design de interiores e de mobiliário;
Proporcionar a aquisição de competências relacionadas com o desenvolvimento de projetos em design de interiores e de mobiliário;
Formar profissionais capazes de desenvolver consultoria e peritagem técnica em design de interiores e de mobiliário;
Desenvolver a capacidade de coordenação de projetos de design de interiores e de mobiliário;
Formar profissionais com competências na gestão de equipas de projetos em design;
Proporcionar a aquisição de competências na produção de ambientes, mobiliário e equipamento ligado aos interiores;
Desenvolver conhecimentos na gestão, controlo e definição de sistemas de produção.
  Saídas Profissionais
Designer de Interiores
Designer de Exposições e Eventos
Designer de Mobiliário e Equipamento
Modelador de Espaços Virtuais
Vitrinista
Maquetista
Decoração de Interiores"
Química Tecnológica,FCUL — Faculdade de Ciências da Universidade de Lisboa,,,,"Objetivos
Pretende-se reforçar a componente mais avançada da Química Tecnológica (a ser completada a nível de 3.º Ciclo – Doutoramento), contribuindo para a melhoria de qualidade na formação de quadros altamente qualificados e para a inovação, passo fundamental para a renovação e o desenvolvimento do setor produtivo e o aumento de riqueza de Portugal.
Os objetivos científicos incluem o aprofundamento dos conhecimentos científicos e tecnológicos nos domínios da Química da Produção Industrial, da formação atualizada dos sistemas de qualidade, gestão e segurança industrial, materiais, energia e ambiente e da aplicação da Química e da Tecnologia à resolução de problemas atuais e futuros das indústrias química e associadas.
Saídas Profissionais
Conceção, desenvolvimento e inovação de aplicações da química a processos industriais. Desenvolvimento de tecnologias e técnicas nas áreas de controlo de qualidade, ambiente, análise química, gestão e segurança industrial, valorização de recursos e resíduos. Intervenção na interface química/engenharia química.
Indústrias químicas e associadas: plástico, têxtil, papel, cimento, cortiça, farmacêutica, alimentar, extrativa, petroquímica | Empresas de prestação de serviços e consultoria | Instituições de ensino superior e investigação | Instituições públicas."
