master,university,Location,Duration,Tuition Fee,about
Structural Analysis of Monuments and Historical Construction,University of Minho,"Guimarães, Portugal",1 year,1250 EUR / year,"The Master course in Structural Analysis of Monuments and Historical Constructions at University of Minho is a European Joint Master Degree on the conservation of architectural heritage structures, aiming at producing an international platform of competence. "
Food Technology and Safety,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year,The Master in Food Technology and Safety from Universidade Nova de Lisboa aims to prepare professionals to act in the fields of: Quality of the food value of raw and processed products; Production processes on food industries; Control of food quality and safety in agro-food industries.
Chemical Innovation and Regulation (Erasmus Mundus),University of Algarve,"Faro, Portugal",2 years,4500 EUR / year,The Course in Chemical Innovation and Regulation (Erasmus Mundus) offered by the University of Algarve - EMMC-ChIR - is a MSc degree for professionals concerned with the safety and regulation of chemical substances.
Environmental Studies,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year,"The interest, opportunity and need underpinning the Master's degree in Environmental Studies at Universidade de Aveiro aims to train professionals capable of anticipating and characterizing environmental issues and dysfunctions, and proposing technically and economically viable solutions to prevent, mitigate, or resolve them. "
Tourism Economics and Regional Development,University of Algarve,"Faro, Portugal",2 years,2200 EUR / year,This Master's program in Tourism Economics and Regional Development at University of Algarve  combines the fields of Tourism Economics and Regional Economics. 
Education,Universidade Nova de Lisboa,"Lisbon, Portugal",1½ year,1250 EUR / year,"The Master in Education from Universidade Nova de Lisboa is promoting academic training that enables personal and professional development of teachers and other professionals in education, in a logic of training throughout life by providing the enrichment of professional practices and the improvement of the organizations in which they work."
Geography,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,The Geography master programme from University of Minho aims to provide advanced training in three areas of specialisation: Tourism and Territorial Communication; Geographic Information Systems(GIS); Risks and Civil Protection.
Educational Sciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,We offer a master degree in Educational Sciences at University of Minho. Anyone who successfully completes one of the study plans of the course may require a Diploma and a Course Certificate.
Business Analytics,Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year,This program in Business Analytics at Catholic University of Portugal provides specialized and comprehensive training in data science and business analytics. You will learn to structure data analytics problems and use state-of-the-art tools and techniques to design solutions for real business challenges.
Management,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year,"The Master's in Management at University of Algarve is a three-semester program, fully taught in English, that offers three specialization areas: Tourism Management; Healthcare Management; Marine and Maritime Management. "
Logistics (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year,"The MSc in Logistics (Evening Classes) at Polytechnic of Porto aims to provide participants (professionals and recent graduates in the fields of management, engineering and technological fields related), a solid background in management and industrial organization, and to ensure that they acquire logistics skills."
Sustainable Energies,Polytechnic of Porto,"Porto, Portugal",2 years,950 EUR / year,"The energy sector is growing and rapidly evolving, generating new business opportunities globally. In coming years, projects related to green energies, smart grids, energy security and efficiency will operate a revolution. The Sustainable Energies degree is offered at Polytechnic of Porto."
