Institution;GoogleMaps;;
Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais;http://maps.google.pt/maps?z=20&t=k&q=loc:39.73972+-8.811389;;
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;http://maps.google.pt/maps?z=20&t=k&q=loc:37.74605+-25.66378;;
Universidade Católica Portuguesa - Faculdade de Ciências Humanas;;;
 Cultura e Organizações;detcursopi.asp?codc=9720&code=1306;;
Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar;http://maps.google.pt/maps?z=20&t=k&q=loc:39.59896+-8.389722;;
Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;http://maps.google.pt/maps?z=20&t=k&q=loc:41.79637+-6.7689;;
Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:41.53448+-8.628122;;
Instituto Politécnico de Tomar - Escola Superior de Gestão de Tomar;http://maps.google.pt/maps?z=20&t=k&q=loc:39.59896+-8.389722;;
Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;http://maps.google.pt/maps?z=20&t=k&q=loc:40.63046+-8.653306;;
Instituto Politécnico da Maia - Escola Superior de Tecnologia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:41.26783+-8.6172;;
Instituto Superior de Entre Douro e Vouga;http://maps.google.pt/maps?z=20&t=k&q=loc:40.92438+-8.544944;;
Instituto Superior Politécnico Gaya - Escola Superior de Ciências Empresariais;http://maps.google.pt/maps?z=20&t=k&q=loc:41.11968+-8.623498;;
Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;http://maps.google.pt/maps?z=20&t=k&q=loc:40.36106+-7.861083;;
Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais;http://maps.google.pt/maps?z=20&t=k&q=loc:38.52306+-8.841667;;
Instituto Politécnico de Santarém - Escola Superior de Gestão e Tecnologia de Santarém;http://maps.google.pt/maps?z=20&t=k&q=loc:39.22521+-8.690559;;
Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais;http://maps.google.pt/maps?z=20&t=k&q=loc:42.02595+-8.641592;;
Universidade do Porto - Faculdade de Direito;http://maps.google.pt/maps?z=20&t=k&q=loc:41.15236+-8.616284;;
Instituto Politécnico de Lisboa - Escola Superior de Dança;http://maps.google.pt/maps?z=20&t=k&q=loc:38.75568+-9.113923;;
ISCTE - Instituto Universitário de Lisboa (Sintra);http://maps.google.pt/maps?z=20&t=k&q=loc:38.80215+-9.382696;;
Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:41.69424+-8.846658;;
Instituto Politécnico do Cávado e do Ave - Escola Superior de Design;http://maps.google.pt/maps?z=20&t=k&q=loc:41.53448+-8.628122;;
Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas;http://maps.google.pt/maps?z=20&t=k&q=loc:38.81918+-7.455066;;
Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;http://maps.google.pt/maps?z=20&t=k&q=loc:41.47761+-7.178407;;
Instituto Politécnico do Cávado e do Ave - Escola Superior de Desporto, Bem-Estar e Sistemas Biomédicos;http://maps.google.pt/maps?z=20&t=k&q=loc:41.43946+-8.294934;;
