Master Name,University,Location,Duration,Tuition Fee
Computer Engineering - Mobile Computing,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year
Graphic Design,Polytechnic of Leiria,"Caldas da Rainha, Portugal",2 years,1140 EUR / year
Biotechnology,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Naval Architecture and Ocean Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Environmental Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Sustainable Tourism Management,Polytechnic of Leiria,"Peniche, Portugal",2 years,1140 EUR / year
Translation,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
Informatics Engineering,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Tax Law,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Archaeological Materials Science,The University of Évora,"Evora, Portugal",2 years,1050 EUR / year
Human Rights,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Mathematics and Computation,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Sociology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Nursing,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Lexicography,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
"Crime, Difference and Inequality",University of Minho,"Braga, Portugal",2 years,1250 EUR / year
European Union Law,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Administrative Law,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Advanced Optometry,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Applied Psychology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Systems Engineering,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Advanced Mineral Resources Development,University of Lisbon,"Lisbon, Portugal",2 years,1063 EUR / year
Civil Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Precision Agriculture Technologies,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2000 EUR / year
Tourism Management and Planning,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year
Financial Management,Business & Economics School,"Lisbon, Portugal",2 years,
Communication Design,ESAD - College of Arts and Design,"Senhora da Hora, Portugal",2 years,5160 EUR / year
Marine Engineering,Nautical School Infante D. Henrique,"Paço de Arcos, Portugal",2 years,2400 EUR / year
Glass and Ceramic Art and Science,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
Biochemistry,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Law and Management,University of Lisbon,"Lisbon, Portugal",1½ year,4000 EUR / year
Molecular and Translational Neuroscience,University of Coimbra,"Coimbra, Portugal",2 years,1500 EUR / year
Art Markets,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,3000 EUR / year
"Health Biochemistry, Specialization in Applied Biochemistry",Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
"Health Biochemistry, Specialization in Clinical and Metabolic Biochemistry",Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
