Course,Institution,Link,GoogleMaps
Biologia,Universidade de Lisboa - Instituto Superior de Agronomia,detcursopi.asp?codc=9011&code=1515,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70623+-9.182634
Biologia,Universidade da Madeira - Faculdade de Ciências da Vida,detcursopi.asp?codc=9011&code=1309,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
Biologia,Universidade do Porto - Faculdade de Ciências,detcursopi.asp?codc=9011&code=1103,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15242+-8.637816
Biologia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,detcursopi.asp?codc=9011&code=1204,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
Biologia,"ISPA - Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",detcursopi.asp?codc=9011&code=4450,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71216+-9.125942
Biologia Aplicada,Universidade do Minho,detcursopi.asp?codc=9688&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Biologia e Biotecnologia,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,detcursopi.asp?codc=L029&code=3041,http://maps.google.pt/maps?z=20&t=k&q=loc:41.79774+-6.767192
Biologia e Biotecnologia Alimentar,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,detcursopi.asp?codc=L259&code=3141,http://maps.google.pt/maps?z=20&t=k&q=loc:39.24965+-8.697347
Biologia Celular e Molecular,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9348&code=0903,http://maps.google.pt/maps?z=20&t=k&q=loc:38.66165+-9.206682
Biologia e Geologia,Universidade de Aveiro,detcursopi.asp?codc=9012&code=0300,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394
Biologia e Geologia,Universidade de Évora - Escola de Ciências e Tecnologia,detcursopi.asp?codc=9012&code=0602,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
Biologia e Geologia,Universidade do Minho,detcursopi.asp?codc=9012&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Biologia e Geologia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,detcursopi.asp?codc=9012&code=1204,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
Biologia Humana,Universidade de Évora - Escola de Ciências e Tecnologia,detcursopi.asp?codc=8262&code=0602,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
Biologia Marinha,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9013&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Biologia Marinha,Universidade de Coimbra - Faculdade de Ciências e Tecnologia (Campus Figueira da Foz),detcursopi.asp?codc=9013&code=0521,http://maps.google.pt/maps?z=20&t=k&q=loc:40.1528+-8.858626
Biologia Marinha,Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar,detcursopi.asp?codc=9013&code=3105,http://maps.google.pt/maps?z=20&t=k&q=loc:39.36472+-9.403056
Biomecânica,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,detcursopi.asp?codc=9690&code=3102,http://maps.google.pt/maps?z=20&t=k&q=loc:39.73444+-8.821389
Bioquímica,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9015&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Bioquímica,Universidade de Aveiro,detcursopi.asp?codc=9015&code=0300,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394
Bioquímica,Universidade da Beira Interior,detcursopi.asp?codc=9015&code=0400,http://maps.google.pt/maps?z=20&t=k&q=loc:40.27736+-7.508574
Bioquímica,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9015&code=0501,http://maps.google.pt/maps?z=20&t=k&q=loc:40.18623+-8.412266
Bioquímica,Universidade de Évora - Escola de Ciências e Tecnologia,detcursopi.asp?codc=9015&code=0602,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
Bioquímica,Universidade de Lisboa - Faculdade de Ciências,detcursopi.asp?codc=9015&code=1503,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75676+-9.155387
Bioquímica,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,detcursopi.asp?codc=9015&code=1307,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
Bioquímica,Universidade do Minho,detcursopi.asp?codc=9015&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Bioquímica,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9015&code=0903,http://maps.google.pt/maps?z=20&t=k&q=loc:38.66165+-9.206682
Bioquímica,Universidade do Porto - Faculdade de Ciências,detcursopi.asp?codc=9015&code=1103,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15242+-8.637816
